GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
320M300US2210780,2210780,"Alexandria, LA Metro Area; Louisiana",42275,1374
320M300US2212820,2212820,"Bastrop, LA Micro Area; Louisiana",31672,1947
320M300US2212940,2212940,"Baton Rouge, LA Metro Area; Louisiana",55329,974
320M300US2214220,2214220,"Bogalusa, LA Micro Area; Louisiana",32962,3070
320M300US2219760,2219760,"DeRidder, LA Micro Area; Louisiana",47350,3568
320M300US2222860,2222860,"Fort Polk South, LA Micro Area; Louisiana",46620,1257
320M300US2225220,2225220,"Hammond, LA Metro Area; Louisiana",45901,2690
320M300US2226380,2226380,"Houma-Thibodaux, LA Metro Area; Louisiana",50013,1511
320M300US2227660,2227660,"Jennings, LA Micro Area; Louisiana",40744,3794
320M300US2229180,2229180,"Lafayette, LA Metro Area; Louisiana",49514,994
320M300US2229340,2229340,"Lake Charles, LA Metro Area; Louisiana",48481,1310
320M300US2233740,2233740,"Monroe, LA Metro Area; Louisiana",39904,1152
320M300US2234020,2234020,"Morgan City, LA Micro Area; Louisiana",41345,1496
320M300US2235020,2235020,"Natchez, MS-LA Micro Area (part); Louisiana",30028,4822
320M300US2235060,2235060,"Natchitoches, LA Micro Area; Louisiana",29001,1903
320M300US2235380,2235380,"New Orleans-Metairie, LA Metro Area; Louisiana",50154,490
320M300US2236660,2236660,"Opelousas, LA Micro Area; Louisiana",32163,1363
320M300US2240820,2240820,"Ruston, LA Micro Area; Louisiana",34424,2465
320M300US2243340,2243340,"Shreveport-Bossier City, LA Metro Area; Louisiana",42572,967
